Wavelength,Flux,BestFit,SkyFlux
4499.870,25.123,24.080,8.104
4500.907,26.299,24.216,7.713
4501.943,24.318,24.332,7.734
4502.980,24.110,24.309,8.000
4504.017,25.055,24.304,8.342
4505.054,24.510,24.404,8.423
4506.091,25.171,24.234,8.055
4507.129,24.470,24.213,8.169
4508.167,27.157,24.149,9.029
4509.205,24.686,24.170,8.377
4510.244,28.568,24.310,7.612
4511.282,23.714,24.378,7.850
4512.321,24.431,24.298,8.207
4513.360,24.963,24.209,8.208
4514.400,22.125,24.240,8.044
4515.439,24.497,24.252,7.917
4516.479,24.313,24.259,7.949
4517.519,25.296,24.382,8.049
4518.559,24.521,24.435,8.100
4519.600,20.307,24.370,8.052
4520.641,24.807,24.229,7.978
4521.682,27.129,24.130,8.382
4522.723,25.153,24.114,8.936
4523.765,23.344,24.101,8.336
4524.806,23.099,24.024,7.801
4525.848,23.509,24.108,8.030
4526.891,23.136,24.145,8.246
4527.933,24.735,24.063,8.295
4528.976,25.722,23.882,8.116
4530.019,22.887,23.773,8.344
4531.062,22.383,24.047,9.280
4532.105,21.503,23.999,9.746
4533.149,21.166,23.864,9.310
4534.193,25.387,23.947,8.860
4535.237,28.332,24.133,8.667
4536.282,25.858,24.044,9.000
4537.326,25.528,23.743,9.264
4538.371,24.865,24.082,9.216
4539.416,22.451,24.030,9.758
4540.462,23.206,23.734,9.526
4541.507,21.973,23.697,8.782
4542.553,22.908,23.843,8.507
4543.599,23.125,23.531,9.150
4544.645,22.394,23.344,9.461
4545.692,21.034,23.378,8.833
4546.739,24.633,23.488,8.552
4547.786,26.758,23.601,8.469
4548.833,23.576,23.808,8.518
4549.881,22.017,24.127,8.750
4550.928,24.641,23.754,8.721
4551.976,26.032,23.702,8.508
4553.025,23.242,23.844,8.324
4554.073,24.184,23.845,8.149
4555.122,23.964,23.771,8.477
4556.171,24.076,23.737,8.577
4557.220,23.092,23.684,8.119
4558.270,23.979,23.659,8.602
4559.319,24.650,23.663,9.060
4560.369,24.315,23.718,8.600
4561.419,26.321,23.861,8.384
4562.470,24.648,24.007,8.111
4563.520,21.849,23.901,7.933
4564.571,21.542,23.735,7.650
4565.623,23.246,23.782,7.327
4566.674,25.996,24.004,7.890
4567.726,26.420,24.135,7.916
4568.777,24.667,24.120,7.362
4569.830,23.719,23.973,7.649
4570.882,22.708,23.959,8.287
4571.935,23.716,24.012,8.108
4572.987,23.457,24.082,7.831
4574.040,24.171,24.184,7.840
4575.094,23.424,24.144,7.781
4576.147,25.358,24.057,8.153
4577.201,24.555,24.060,8.692
4578.255,24.030,24.052,8.845
4579.310,24.577,24.031,8.868
4580.364,25.297,24.077,8.869
4581.419,24.937,24.036,8.379
4582.474,26.927,23.943,8.074
4583.529,29.980,23.918,8.302
4584.585,24.121,24.025,8.221
4585.640,23.964,24.029,8.233
4586.696,24.911,23.783,8.529
4587.753,26.107,23.846,8.346
